iter	Passed	Remaining
0	220	65805
1	271	40524
2	312	30953
3	355	26336
4	381	22530
5	406	19931
6	432	18120
7	457	16712
8	484	15666
9	511	14840
10	536	14103
11	565	13571
12	589	13017
13	618	12630
14	646	12274
15	672	11933
16	700	11656
17	724	11343
18	752	11135
19	780	10929
20	807	10726
21	832	10525
22	858	10344
23	885	10182
24	912	10036
25	939	9895
26	967	9783
27	994	9664
28	1019	9527
29	1051	9464
30	1082	9395
31	1107	9276
32	1135	9186
33	1160	9081
34	1185	8975
35	1211	8884
36	1235	8781
37	1259	8685
38	1287	8614
39	1311	8525
40	1336	8441
41	1361	8362
42	1385	8281
43	1411	8210
44	1435	8135
45	1460	8065
46	1485	7996
47	1508	7921
48	1532	7852
49	1558	7790
50	1582	7728
51	1612	7690
52	1637	7631
53	1662	7574
54	1688	7521
55	1713	7464
56	1738	7412
57	1763	7359
58	1787	7300
59	1812	7249
60	1836	7195
61	1862	7149
62	1885	7094
63	1910	7045
64	1934	6993
65	1959	6945
66	1983	6896
67	2009	6857
68	2034	6810
69	2059	6765
70	2083	6719
71	2107	6674
72	2132	6631
73	2155	6582
74	2180	6540
75	2204	6496
76	2229	6456
77	2255	6420
78	2278	6373
79	2302	6330
80	2328	6295
81	2354	6258
82	2379	6220
83	2403	6181
84	2432	6152
85	2457	6115
86	2482	6076
87	2506	6039
88	2531	6000
89	2556	5964
90	2580	5927
91	2606	5893
92	2631	5856
93	2657	5823
94	2680	5785
95	2705	5749
96	2731	5715
97	2757	5684
98	2781	5647
99	2805	5611
100	2830	5577
101	2856	5545
102	2881	5511
103	2905	5476
104	2930	5442
105	2955	5408
106	2978	5372
107	3002	5337
108	3025	5301
109	3050	5269
110	3075	5236
111	3100	5204
112	3124	5170
113	3150	5140
114	3174	5106
115	3199	5074
116	3225	5044
117	3251	5014
118	3277	4984
119	3303	4955
120	3327	4922
121	3351	4889
122	3376	4858
123	3402	4828
124	3426	4797
125	3451	4765
126	3476	4735
127	3501	4705
128	3525	4673
129	3552	4645
130	3578	4616
131	3603	4586
132	3628	4556
133	3653	4525
134	3678	4496
135	3704	4467
136	3728	4435
137	3752	4404
138	3775	4373
139	3800	4343
140	3824	4313
141	3849	4283
142	3873	4253
143	3898	4223
144	3924	4194
145	3951	4167
146	3977	4140
147	4004	4112
148	4030	4085
149	4056	4056
150	4082	4028
151	4108	3999
152	4135	3972
153	4160	3943
154	4184	3914
155	4209	3885
156	4233	3856
157	4257	3826
158	4283	3798
159	4307	3768
160	4332	3740
161	4357	3712
162	4382	3683
163	4407	3654
164	4433	3627
165	4452	3594
166	4478	3567
167	4504	3539
168	4529	3511
169	4555	3483
170	4579	3455
171	4604	3426
172	4628	3397
173	4654	3370
174	4680	3343
175	4706	3315
176	4733	3289
177	4759	3262
178	4785	3234
179	4811	3207
180	4836	3179
181	4860	3151
182	4886	3123
183	4913	3097
184	4938	3070
185	4962	3041
186	4985	3012
187	5009	2984
188	5033	2956
189	5057	2928
190	5082	2900
191	5106	2872
192	5130	2844
193	5154	2816
194	5177	2788
195	5202	2760
196	5227	2733
197	5251	2705
198	5274	2677
199	5301	2650
200	5325	2623
201	5351	2596
202	5376	2569
203	5401	2541
204	5428	2515
205	5453	2488
206	5477	2460
207	5501	2433
208	5527	2406
209	5553	2380
210	5578	2353
211	5604	2326
212	5630	2299
213	5656	2273
214	5682	2246
215	5706	2219
216	5731	2192
217	5755	2165
218	5780	2138
219	5806	2111
220	5831	2084
221	5856	2057
222	5881	2030
223	5905	2003
224	5930	1976
225	5954	1949
226	5978	1922
227	6002	1895
228	6028	1868
229	6052	1842
230	6081	1816
231	6106	1789
232	6130	1762
233	6157	1736
234	6181	1709
235	6206	1683
236	6232	1656
237	6258	1630
238	6284	1603
239	6310	1577
240	6332	1550
241	6358	1523
242	6383	1497
243	6407	1470
244	6431	1443
245	6455	1416
246	6480	1390
247	6507	1364
248	6532	1337
249	6556	1311
250	6580	1284
251	6608	1258
252	6633	1232
253	6659	1206
254	6683	1179
255	6709	1153
256	6734	1126
257	6759	1100
258	6782	1073
259	6806	1047
260	6830	1020
261	6853	993
262	6877	967
263	6901	941
264	6924	914
265	6949	888
266	6974	862
267	6998	835
268	7023	809
269	7048	783
270	7073	756
271	7098	730
272	7122	704
273	7149	678
274	7174	652
275	7199	626
276	7222	599
277	7247	573
278	7273	547
279	7297	521
280	7322	495
281	7347	469
282	7371	442
283	7397	416
284	7425	390
285	7449	364
286	7475	338
287	7500	312
288	7526	286
289	7550	260
290	7574	234
291	7600	208
292	7625	182
293	7648	156
294	7674	130
295	7698	104
296	7721	77
297	7745	51
298	7769	25
299	7793	0
